Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,2239.92,26879.04,USD,"Operating system (Linux), Quantity (12), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (100 GB), Instance type (m5.2xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),App Servers,Amazon EC2,0,6448.8,77385.60,USD,"Operating system (Linux), Quantity (20), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (100 GB), Instance type (c5.4xlarge)"
Initial_Cost_Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,4093.6,49123.20,USD,"Data transfer out to internet (10 TB per month), Number of requests (HTTPS) (100000000 per month), Data transfer out to internet (10 TB per month), Data transfer out to internet (10 TB per month), Data transfer out to internet (10 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,4000,48000.00,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Initial_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,500.05,6000.60,USD,Number of Application Load Balancers (2)
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,1177.6,14131.20,USD,S3 Standard storage (50 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,65.7,788.40,USD,Number of NAT Gateways (2)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Elastic IP,0,36.5,438.00,USD,"Number of EC2 instances (10), Number of EIPs per instance (2)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon ElastiCache,0,1328.6,15943.20,USD,Nodes ( 2 instances of type Redis  Memory optimized  cache r4.2xlarge  OnDemand )


Increase the number of Web Servers from 8 to 12. Maintain the instance type.
Reduce the number of Application Servers from 12 to 20. Maintain the instance type.
Change the Database Instance Type to a bigger one.
Add Amazon ElastiCache service to improve user experience.


Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
